mem: 94896371404085, value: 0
mem: 94896371404084, value: 0
mem: 94896371404083, value: 0
mem: 94896371404082, value: 0
mem: 94896371404081, value: 0
mem: 94896371404080, value: 0
mem: 94896371404079, value: 0
mem: 94896371404078, value: 0
mem: 94896371404077, value: 0
mem: 94896371404076, value: 0
mem: 94896371404075, value: 0
mem: 94896371404074, value: 0
mem: 94896371404073, value: 0
mem: 94896371404072, value: 0
mem: 94896371404071, value: 0
mem: 94896371404070, value: 0
mem: 94896371404069, value: 0
mem: 94896371404068, value: 0
mem: 94896371404067, value: 0
mem: 94896371404066, value: 0
mem: 94896371404065, value: 0
mem: 94896371404064, value: 0
mem: 94896371404063, value: 0
mem: 94896371404062, value: 0
mem: 94896371404061, value: 0
mem: 94896371404060, value: 0
mem: 94896371404059, value: 0
mem: 94896371404058, value: 0
mem: 94896371404057, value: 0
mem: 94896371404056, value: 0
mem: 94896371404055, value: 0
mem: 94896371404054, value: 0
mem: 94896371404053, value: 0
mem: 94896371404052, value: 0
mem: 94896371404051, value: 0
mem: 94896371404050, value: 0
mem: 94896371404049, value: 0
mem: 94896371404048, value: 0
mem: 94896371404047, value: 0
mem: 94896371404046, value: 0
mem: 94896371404045, value: 0
mem: 94896371404044, value: 0
mem: 94896371404043, value: 0
mem: 94896371404042, value: 0
mem: 94896371404041, value: 0
mem: 94896371404040, value: 0
mem: 94896371404039, value: 0
mem: 94896371404038, value: 0
mem: 94896371404037, value: 0
mem: 94896371404036, value: 0
mem: 94896371404035, value: 0
mem: 94896371404034, value: 0
mem: 94896371404033, value: 0
mem: 94896371404032, value: 0
mem: 94896371404031, value: 0
mem: 94896371404030, value: 0
mem: 94896371404029, value: 0
mem: 94896371404028, value: 0
mem: 94896371404027, value: 0
mem: 94896371404026, value: 0
mem: 94896371404025, value: 0
mem: 94896371404024, value: 0
mem: 94896371404023, value: 0
mem: 94896371404022, value: 0
mem: 94896371404021, value: 0
mem: 94896371404020, value: 0
mem: 94896371404019, value: 0
mem: 94896371404018, value: 0
mem: 94896371404017, value: 0
mem: 94896371404016, value: 0
mem: 94896371404015, value: 0
mem: 94896371404014, value: 0
mem: 94896371404013, value: 0
mem: 94896371404012, value: 0
mem: 94896371404011, value: 0
mem: 94896371404010, value: 0
mem: 94896371404009, value: 0
mem: 94896371404008, value: 0
mem: 94896371404007, value: 0
mem: 94896371404006, value: 0
mem: 94896371404005, value: 0
mem: 94896371404004, value: 0
mem: 94896371404003, value: 0
mem: 94896371404002, value: 0
mem: 94896371404001, value: 0
mem: 94896371404000, value: 0
mem: 94896371403999, value: 0
mem: 94896371403998, value: 0
mem: 94896371403997, value: 0
mem: 94896371403996, value: 0
mem: 94896371403995, value: 0
mem: 94896371403994, value: 0
mem: 94896371403993, value: 0
mem: 94896371403992, value: 0
mem: 94896371403991, value: 0
mem: 94896371403990, value: 0
mem: 94896371403989, value: 0
mem: 94896371403988, value: 0
mem: 94896371403987, value: 0
mem: 94896371403986, value: 0
mem: 94896371403985, value: 0
mem: 94896371403984, value: 0
mem: 94896371403983, value: 0
mem: 94896371403982, value: 0
mem: 94896371403981, value: 0
mem: 94896371403980, value: 0
mem: 94896371403979, value: 0
mem: 94896371403978, value: 0
mem: 94896371403977, value: 0
mem: 94896371403976, value: 0
mem: 94896371403975, value: 0
mem: 94896371403974, value: 0
mem: 94896371403973, value: 0
mem: 94896371403972, value: 0
mem: 94896371403971, value: 0
mem: 94896371403970, value: 0
mem: 94896371403969, value: 0
mem: 94896371403968, value: 0
mem: 94896371403967, value: 0
mem: 94896371403966, value: 0
mem: 94896371403965, value: 0
mem: 94896371403964, value: 0
mem: 94896371403963, value: 0
mem: 94896371403962, value: 0
mem: 94896371403961, value: 0
mem: 94896371403960, value: 0
mem: 94896371403959, value: 0
mem: 94896371403958, value: 0
mem: 94896371403957, value: 0
mem: 94896371403956, value: 0
mem: 94896371403955, value: 0
mem: 94896371403954, value: 0
mem: 94896371403953, value: 0
mem: 94896371403952, value: 0
